,time,distance,dh_fit_dx,gt,spot,w_surface_window_final,h_mean,dh_fit_dy,n_fit_photons,pflags,cycle,h_sigma,rgt,rms_misfit,delta_time,segment_id,doy,decyear,dowy,x,y,geometry
26361,2020-10-07T12:51:46.686001,5395808.752162816,0.11024006906340489,60,2,3.274959437071498,715.5866228140678,0.0,14,0,9,0.12337423409194169,204,0.34233368947558906,87310306.68588904,269087,281,2020.7664916858303,8,703177.3587536644,5371575.602917562,POINT (703177.3587536644 5371575.602917562)
26363,2020-10-07T12:51:46.688000,5398253.205383637,-0.30815396976906273,50,1,7.881689576311369,603.4584632596072,0.0,30,0,9,0.1464294144655359,204,0.7841378446098232,87310306.68755472,269209,281,2020.7664916858935,8,702769.0383009235,5373987.54145229,POINT (702769.0383009235 5373987.54145229)
26364,2020-10-07T12:51:46.689999,5398273.241873374,-0.5010367017992916,50,1,12.791064856248816,595.084746471513,0.0,23,0,9,0.1667314115353793,204,0.7634274765035596,87310306.69037923,269210,281,2020.7664916859567,8,702766.4747927665,5374007.415292524,POINT (702766.4747927665 5374007.415292524)
26365,2020-10-07T12:51:46.693001,5398293.278362913,-0.2737039219380528,50,1,7.006193573487732,586.1073379706841,0.0,63,4,9,0.1803719186031227,204,1.194632113044845,87310306.69320391,269211,281,2020.7664916860517,8,702763.8868962916,5374027.285835496,POINT (702763.8868962916 5374027.285835496)
26366,2020-10-07T12:51:46.695999,5398313.314852255,0.10054999080454285,50,1,3.0,585.5980931205339,0.0,69,0,9,0.06221545603819017,204,0.3589167104104572,87310306.69603719,269212,281,2020.7664916861465,8,702761.2083299924,5374047.1444492,POINT (702761.2083299924 5374047.1444492)
26367,2020-10-07T12:51:46.699001,5398333.351341402,0.04433684206262001,50,1,3.0,586.9900021085542,0.0,26,0,9,0.062117544017608314,204,0.311727107618509,87310306.69887242,269213,281,2020.7664916862414,8,702758.4770765516,5374066.996050605,POINT (702758.4770765516 5374066.996050605)
26369,2020-10-07T12:51:46.702000,5398353.387830353,-0.012586051265153664,50,1,3.0,587.2244726274691,0.0,30,0,9,0.06119684017717402,204,0.33516783703286074,87310306.70170508,269214,281,2020.7664916863362,8,702755.7207698112,5374086.844349375,POINT (702755.7207698112 5374086.844349375)
26371,2020-10-07T12:51:46.705002,5398373.424319108,-0.02009523213445874,50,1,3.0,586.8418898864032,0.0,66,0,9,0.03610310416341448,204,0.2583521463292663,87310306.70453419,269215,281,2020.7664916864312,8,702752.9491062379,5374106.690608728,POINT (702752.9491062379 5374106.690608728)
26372,2020-10-07T12:51:46.706001,5395949.007754507,0.010919913453961705,60,2,3.0,723.0860314868204,0.0,16,0,9,0.0768431245564228,204,0.2922619351933243,87310306.70566992,269094,281,2020.7664916864628,8,703159.1976989249,5371714.691267648,POINT (703159.1976989249 5371714.691267648)
26374,2020-10-07T12:51:46.707001,5398393.460807665,0.035199446162785364,50,1,3.0,586.9296508756458,0.0,82,0,9,0.029602224116043692,204,0.26427563964747364,87310306.70735951,269216,281,2020.7664916864944,8,702750.1723839771,5374126.536200899,POINT (702750.1723839771 5374126.536200899)
26375,2020-10-07T12:51:46.709999,5398413.497296027,0.03226134726345853,50,1,3.0,587.7029484071684,0.0,45,0,9,0.04631300233038607,204,0.26143426772860606,87310306.7101797,269217,281,2020.7664916865892,8,702747.4020660687,5374146.382623275,POINT (702747.4020660687 5374146.382623275)
26377,2020-10-07T12:51:46.713001,5398433.533784192,-0.018081502828874996,50,1,3.0,587.7228817357759,0.0,16,0,9,0.09083611684325328,204,0.3109053842590781,87310306.71299447,269218,281,2020.766491686684,8,702744.6471201625,5374166.231109318,POINT (702744.6471201625 5374166.231109318)
26381,2020-10-07T12:51:46.719002,5398473.606759934,-0.054101920885301524,50,1,3.0,585.5941389195788,0.0,11,0,9,0.051917849314754266,204,0.17125145949909093,87310306.71859989,269220,281,2020.766491686874,8,702739.2395739261,5374205.941573331,POINT (702739.2395739261 5374205.941573331)
26386,2020-10-07T12:51:46.727001,5398533.716222072,-0.037692875488139155,50,1,3.0,581.3283269049726,0.0,52,0,9,0.05048140087937392,204,0.3322621780416059,87310306.72698587,269223,281,2020.766491687127,8,702731.3443580824,5374265.53592959,POINT (702731.3443580824 5374265.53592959)
26388,2020-10-07T12:51:46.730000,5398553.75270906,-0.027293315140174967,50,1,3.0,580.6212859642244,0.0,79,0,9,0.02741274127230735,204,0.24002174041783636,87310306.72978456,269224,281,2020.7664916872218,8,702728.7539202154,5374285.406160048,POINT (702728.7539202154 5374285.406160048)
26390,2020-10-07T12:51:46.733002,5398573.7891958505,-0.024961901569036993,50,1,3.0,580.1136154568816,0.0,67,0,9,0.023579841542868563,204,0.18654202922862193,87310306.73258625,269225,281,2020.7664916873166,8,702726.1746616028,5374305.277918025,POINT (702726.1746616028 5374305.277918025)
26392,2020-10-07T12:51:46.735001,5398593.8256824445,-0.04198390262456764,50,1,3.0,579.5232636661891,0.0,48,0,9,0.02370260841875291,204,0.15962730906782382,87310306.73539416,269226,281,2020.7664916873798,8,702723.6064543865,5374325.151084989,POINT (702723.6064543865 5374325.151084989)
26396,2020-10-07T12:51:46.737999,5398613.862168843,-0.030354424719292283,50,1,3.0,578.7934989271447,0.0,73,0,9,0.021240822816256694,204,0.17517926676357753,87310306.73821007,269227,281,2020.7664916874746,8,702721.0457552923,5374345.025267014,POINT (702721.0457552923 5374345.025267014)
26399,2020-10-07T12:51:46.741001,5398633.898655045,-0.031050732891645838,50,1,3.0,578.1716380579819,0.0,103,0,9,0.01924208074174414,204,0.19419044056410323,87310306.74102983,269228,281,2020.7664916875697,8,702718.4845812574,5374364.899390789,POINT (702718.4845812574 5374364.899390789)
26400,2020-10-07T12:51:46.742001,5396209.482399265,0.017948587841843278,60,2,3.317309562538391,718.1584216397807,0.0,14,0,9,0.11185824048812638,204,0.30796754564861184,87310306.74229151,269107,281,2020.7664916876013,8,703125.2262142742,5371972.965816673,POINT (703125.2262142742 5371972.965816673)
26403,2020-10-07T12:51:46.743999,5398653.935141051,-0.03938984129919765,50,1,3.0,577.4328389082821,0.0,109,0,9,0.019960941827279186,204,0.2075560080037364,87310306.74385199,269229,281,2020.7664916876645,8,702715.9176494244,5374384.772755383,POINT (702715.9176494244 5374384.772755383)
26404,2020-10-07T12:51:46.744999,5396229.518909025,0.022024056005216508,60,2,3.0,718.5137666590248,0.0,24,0,9,0.04406482473907735,204,0.21584669349630348,87310306.74511492,269108,281,2020.766491687696,8,703122.5979532307,5371992.831121301,POINT (703122.5979532307 5371992.831121301)
26407,2020-10-07T12:51:46.747002,5398673.97162686,-0.03939875511655477,50,1,3.0,576.6300686029206,0.0,100,0,9,0.018837026025555818,204,0.1883597729093212,87310306.7466753,269230,281,2020.7664916877593,8,702713.3422925391,5374404.644999822,POINT (702713.3422925391 5374404.644999822)
26408,2020-10-07T12:51:46.748001,5396249.55541859,0.019465721284229076,60,2,3.0,718.9018887881571,0.0,16,0,9,0.034762716235064745,204,0.11798199774528238,87310306.74793851,269109,281,2020.766491687791,8,703119.9663233119,5372012.695956447,POINT (703119.9663233119 5372012.695956447)
26410,2020-10-07T12:51:46.749001,5398694.008112473,-0.042099232823271215,50,1,3.0,575.8291680633139,0.0,102,0,9,0.01956651778619427,204,0.1975977569394401,87310306.7494989,269231,281,2020.7664916878225,8,702710.7559784008,5374424.515782396,POINT (702710.7559784008 5374424.515782396)
26413,2020-10-07T12:51:46.751999,5398714.04459789,-0.047437181416876584,50,1,3.0,574.9438021598228,0.0,95,0,9,0.021017616419236856,204,0.20443415747080113,87310306.75232194,269232,281,2020.7664916879173,8,702708.1591124837,5374444.385187732,POINT (702708.1591124837 5374444.385187732)
26416,2020-10-07T12:51:46.755001,5398734.0810831105,-0.052155864963015386,50,1,3.0,573.9516535740811,0.0,86,0,9,0.02203868760471438,204,0.20338992038384204,87310306.75514254,269233,281,2020.7664916880124,8,702705.5431006975,5374464.252049093,POINT (702705.5431006975 5374464.252049093)
26419,2020-10-07T12:51:46.757999,5398754.117568134,-0.04116732371507126,50,1,3.0,573.0185893323171,0.0,94,0,9,0.0190783573098406,204,0.18407919014737262,87310306.75795911,269234,281,2020.7664916881072,8,702702.9020143783,5374484.115582305,POINT (702702.9020143783 5374484.115582305)
26421,2020-10-07T12:51:46.761002,5398774.154052963,-0.04265212472506896,50,1,3.0,572.1835800221243,0.0,89,0,9,0.01890445495106873,204,0.17833979359352997,87310306.76077422,269235,281,2020.766491688202,8,702700.2573561647,5374503.9786554,POINT (702700.2573561647 5374503.9786554)
26423,2020-10-07T12:51:46.764000,5398794.190537593,-0.04379195329610841,50,1,3.0,571.3057334444918,0.0,85,0,9,0.019458722873887394,204,0.1781344065681299,87310306.76358865,269236,281,2020.7664916882968,8,702697.6185672138,5374523.842475795,POINT (702697.6185672138 5374523.842475795)
26426,2020-10-07T12:51:46.765999,5398814.2270220285,-0.049131562353757596,50,1,3.0,570.3652177694387,0.0,92,0,9,0.02073681607834422,204,0.19638671405911862,87310306.7664031,269237,281,2020.76649168836,8,702694.99287954,5374543.708037292,POINT (702694.99287954 5374543.708037292)
26429,2020-10-07T12:51:46.769001,5398834.263506266,-0.04707387699457877,50,1,3.0,569.4148838401309,0.0,91,0,9,0.021267775855731585,204,0.20207836205484098,87310306.76921818,269238,281,2020.766491688455,8,702692.3852336671,5374563.576011644,POINT (702692.3852336671 5374563.576011644)
26430,2020-10-07T12:51:46.771000,5396409.84748804,0.25114985939536005,60,2,6.919927404765012,721.2094475280865,0.0,10,0,9,0.22935432853790044,204,0.6776521151263067,87310306.7705121,269117,281,2020.7664916885183,8,703098.8048147953,5372171.600179097,POINT (703098.8048147953 5372171.600179097)
26433,2020-10-07T12:51:46.771999,5398854.299990309,-0.0479194488890029,50,1,3.0,568.4750080496563,0.0,94,0,9,0.01886015239344345,204,0.18244211592254564,87310306.77203438,269239,281,2020.7664916885499,8,702689.7924024172,5374583.4459537165,POINT (702689.7924024172 5374583.445953717)
26435,2020-10-07T12:51:46.775002,5398874.336474154,-0.047792095376916977,50,1,3.0,567.5278208203596,0.0,96,0,9,0.018782224836719028,204,0.18397107214917657,87310306.77485262,269240,281,2020.766491688645,8,702687.2334367078,5374603.320363268,POINT (702687.2334367078 5374603.320363268)
26437,2020-10-07T12:51:46.778000,5398894.372957803,-0.04431150385892835,50,1,3.0,566.6272631753235,0.0,121,0,9,0.01863011362480879,204,0.19791840616263437,87310306.77767308,269241,281,2020.7664916887397,8,702684.7118583615,5374623.199708002,POINT (702684.7118583615 5374623.199708002)
26438,2020-10-07T12:51:46.778999,5396469.957010845,0.15869462128961853,60,2,4.554807242113743,738.6003869747256,0.0,17,0,9,0.15727301693734588,204,0.526381607549952,87310306.77897434,269120,281,2020.766491688771,8,703090.8768973165,5372231.190234697,POINT (703090.8768973165 5372231.190234697)
26440,2020-10-07T12:51:46.779999,5398914.409441256,-0.04573339301462298,50,1,3.0,565.7457806410011,0.0,126,0,9,0.016925225400453763,204,0.18683777161069026,87310306.78049609,269242,281,2020.766491688803,8,702682.2061925991,5374643.081179999,POINT (702682.2061925991 5374643.081179999)
26441,2020-10-07T12:51:46.782001,5396489.993518054,0.09678556034945718,60,2,3.0,741.1149174487591,0.0,21,0,9,0.10987304474481001,204,0.46148612134422845,87310306.7817959,269121,281,2020.7664916888662,8,703088.2479580968,5372251.0554859005,POINT (703088.2479580968 5372251.0554859)
