x,y,h_mean
713862.9864,5357144.916,859.6978412
714266.3063,5354772.929,1094.988421
710686.3763,5356642.758,964.6219705
714263.706,5354792.796,1102.965188
710683.9159,5356662.645,955.6758487
714261.1096,5354812.665,1111.948896
714258.5137,5354832.534,1120.72939
713850.8386,5357244.366,806.5965052
713848.4287,5357264.259,798.8583456
710676.4898,5356722.299,927.0553786
714253.2732,5354872.263,1139.094747
710673.9883,5356742.181,918.3062072
714250.6007,5354892.121,1149.635812
713841.5405,5357323.983,762.0977762
710668.9432,5356781.937,901.3235627
713839.2823,5357343.896,750.2955807
710666.384,5356801.811,894.9193471
713837.0231,5357363.809,739.9351555
714239.557,5354971.507,1191.736036
714228.4737,5355050.886,1234.547171
713823.1712,5357483.245,671.3106547
714225.8954,5355070.757,1237.93368
713820.7526,5357503.136,658.8943444
710646.0001,5356960.812,851.7718202
710643.4474,5356980.686,853.5871952
713813.5258,5357561.659,623.0841178
713810.9643,5357581.898,614.4761063
713808.3011,5357602.547,609.9423066
710630.6917,5357080.06,860.2155819
713803.3138,5357641.142,605.9645975
710628.1391,5357099.935,859.7258319
713800.661,5357661.644,605.8960403
710625.5895,5357119.809,859.6699176
713798.0207,5357682.033,606.8897964
710623.0501,5357139.686,859.0491661
713795.4174,5357701.899,611.3219831
710620.5215,5357159.563,858.2547226
713792.7588,5357721.76,620.4840206
713790.0453,5357741.612,634.4116557
713787.2982,5357761.461,651.6023641
710608.0188,5357258.971,858.5159654
713778.9143,5357820.986,714.7416029
713776.2344,5357840.843,726.7708142
713773.5662,5357860.702,737.4491566
710600.4623,5357318.608,857.9083708
713770.9137,5357880.563,746.3359101
713768.2939,5357900.428,751.7439232
713765.7121,5357920.298,753.5831734
713763.1476,5357940.17,754.2469251
710590.0769,5357398.083,854.0231883
713760.6146,5357960.047,753.1214708
710587.4361,5357417.946,855.4164787
714162.6976,5355567.687,1239.329148
710582.2228,5357457.681,849.5549757
710579.644,5357477.551,845.5469314
710569.4832,5357557.055,837.7876742
710566.9583,5357576.934,840.9086542
710564.4246,5357596.811,847.0312491
710557.0761,5357656.475,838.6815074
710554.6418,5357676.366,835.0020333
710549.7915,5357716.149,823.4095887
707375.6392,5357173.928,997.0566287
710547.3454,5357736.037,818.9817594
707373.0496,5357193.798,1005.32602
707370.4744,5357213.671,1012.902567
707367.9239,5357233.546,1017.712245
710539.9418,5357795.695,803.3658762
707365.3926,5357253.424,1021.61287
710537.424,5357815.574,801.3136219
707362.8742,5357273.304,1025.32858
707355.3674,5357332.949,1034.660322
707352.8698,5357352.832,1037.444489
707350.3699,5357372.714,1040.096115
707347.8668,5357392.596,1046.240911
707345.359,5357412.477,1054.90387
707342.8429,5357432.357,1064.798435
713688.8495,5358536.687,586.203589
707340.3197,5357452.236,1075.489485
713686.3835,5358556.572,581.3376001
707337.7905,5357472.115,1086.579493
713683.8767,5358576.452,579.7703793
710509.1872,5358034.172,786.0966433
707335.2515,5357491.992,1095.6557
707332.6967,5357511.867,1101.624568
707330.1362,5357531.741,1105.786011
713676.3441,5358636.09,578.0627786
713673.844,5358655.97,577.3998999
713671.3486,5358675.852,576.8124762
707322.5032,5357591.37,1105.691491
713668.8655,5358695.735,575.5574918
707319.9871,5357611.25,1102.303026
713666.3868,5358715.619,574.0674515
707317.4864,5357631.132,1100.009406
713663.908,5358735.502,572.791118
710488.5237,5358193.136,794.8095406
707315.0185,5357651.018,1099.383276
710485.8816,5358212.999,800.2197148
710480.6759,5358252.734,802.7684047
710478.1058,5358272.606,802.9778566
710451.1097,5358491.369,718.6966833
710448.4749,5358511.232,717.8290207
710445.8281,5358531.094,716.9490222
710443.1736,5358550.955,716.4088215
710440.5184,5358570.816,716.5586859
713613.0481,5359133.004,529.4473742
710437.865,5358590.677,718.1510123
713610.5036,5359152.878,529.7112658
710435.2275,5358610.541,720.7883706
713607.9571,5359172.754,529.6301268
710432.6186,5358630.408,723.9962542
710430.036,5358650.278,728.5732037
710427.4593,5358670.15,734.7095367
710424.8758,5358690.02,744.9033343
713597.8094,5359252.257,522.2577964
