STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
TUM,D,18,SNOW DP,,20191007,1,,INCHES
TUM,D,18,SNOW DP,,20191008,1,,INCHES
TUM,D,18,SNOW DP,,20191009,-0,,INCHES
TUM,D,18,SNOW DP,,20191010,0,,INCHES
TUM,D,18,SNOW DP,,20191011,0,,INCHES
TUM,D,18,SNOW DP,,20191012,1,,INCHES
TUM,D,18,SNOW DP,,20191013,1,,INCHES
TUM,D,18,SNOW DP,,20191014,0,,INCHES
TUM,D,18,SNOW DP,,20191015,0,,INCHES
TUM,D,18,SNOW DP,,20191016,-1,,INCHES
TUM,D,18,SNOW DP,,20191017,-0,,INCHES
TUM,D,18,SNOW DP,,20191018,-0,,INCHES
TUM,D,18,SNOW DP,,20191019,-0,,INCHES
TUM,D,18,SNOW DP,,20191020,-1,,INCHES
TUM,D,18,SNOW DP,,20191021,-1,,INCHES
TUM,D,18,SNOW DP,,20191022,0,,INCHES
TUM,D,18,SNOW DP,,20191023,-1,,INCHES
TUM,D,18,SNOW DP,,20191024,0,,INCHES
TUM,D,18,SNOW DP,,20191025,-1,,INCHES
TUM,D,18,SNOW DP,,20191026,-1,,INCHES
TUM,D,18,SNOW DP,,20191027,-2,,INCHES
TUM,D,18,SNOW DP,,20191028,0,,INCHES
TUM,D,18,SNOW DP,,20191029,-0,,INCHES
TUM,D,18,SNOW DP,,,,,INCHES
TUM,D,18,SNOW DP,,20191031,0,,INCHES
TUM,D,18,SNOW DP,,20191101,-1,,INCHES
TUM,D,18,SNOW DP,,20191102,-0,,INCHES
TUM,D,18,SNOW DP,,20191103,-0,,INCHES
TUM,D,18,SNOW DP,,20191104,1,,INCHES
TUM,D,18,SNOW DP,,20191105,1,,INCHES
TUM,D,18,SNOW DP,,20191106,-0,,INCHES
TUM,D,18,SNOW DP,,20191107,1,,INCHES
TUM,D,18,SNOW DP,,20191108,1,,INCHES
TUM,D,18,SNOW DP,,20191109,1,,INCHES
TUM,D,18,SNOW DP,,20191110,0,,INCHES
TUM,D,18,SNOW DP,,20191111,1,,INCHES
TUM,D,18,SNOW DP,,20191112,0,,INCHES
TUM,D,18,SNOW DP,,20191113,1,,INCHES
TUM,D,18,SNOW DP,,20191114,1,,INCHES
TUM,D,18,SNOW DP,,20191115,-0,,INCHES
TUM,D,18,SNOW DP,,20191116,0,,INCHES
TUM,D,18,SNOW DP,,20191117,-1,,INCHES
TUM,D,18,SNOW DP,,20191118,-1,,INCHES
TUM,D,18,SNOW DP,,20191119,-1,,INCHES
TUM,D,18,SNOW DP,,20191120,-1,,INCHES
TUM,D,18,SNOW DP,,20191121,1,,INCHES
TUM,D,18,SNOW DP,,20191122,-0,,INCHES
TUM,D,18,SNOW DP,,20191123,0,,INCHES
TUM,D,18,SNOW DP,,20191124,1,,INCHES
TUM,D,18,SNOW DP,,20191125,0,,INCHES
TUM,D,18,SNOW DP,,20191126,0,,INCHES
TUM,D,18,SNOW DP,,20191127,118,N,INCHES
TUM,D,18,SNOW DP,,20191128,118,N,INCHES
TUM,D,18,SNOW DP,,20191129,118,N,INCHES
TUM,D,18,SNOW DP,,20191130,17,,INCHES
TUM,D,18,SNOW DP,,20191201,118,N,INCHES
TUM,D,18,SNOW DP,,20191202,31,,INCHES
TUM,D,18,SNOW DP,,20191203,27,,INCHES
TUM,D,18,SNOW DP,,20191204,25,,INCHES
TUM,D,18,SNOW DP,,20191205,26,,INCHES
TUM,D,18,SNOW DP,,20191206,25,,INCHES
TUM,D,18,SNOW DP,,20191207,118,N,INCHES
TUM,D,18,SNOW DP,,20191208,118,N,INCHES
TUM,D,18,SNOW DP,,20191209,31,,INCHES
TUM,D,18,SNOW DP,,20191210,30,,INCHES
TUM,D,18,SNOW DP,,20191211,28,,INCHES
TUM,D,18,SNOW DP,,20191212,29,,INCHES
TUM,D,18,SNOW DP,,20191213,27,,INCHES
TUM,D,18,SNOW DP,,20191214,29,,INCHES
TUM,D,18,SNOW DP,,20191215,118,N,INCHES
TUM,D,18,SNOW DP,,20191216,30,,INCHES
TUM,D,18,SNOW DP,,20191217,29,,INCHES
TUM,D,18,SNOW DP,,20191218,28,,INCHES
TUM,D,18,SNOW DP,,20191219,28,,INCHES
TUM,D,18,SNOW DP,,20191220,27,,INCHES
TUM,D,18,SNOW DP,,20191221,27,,INCHES
